id|chaptername|avgsentiment|mediansentiment|avgsentiment0
0|1 The Boy Who Lived  |0.06350675675675675|0.1531|0.030319354838709674
1|2 The Vanashing Glass  |-0.02882892561983471|-0.0516|-0.015713063063063065
2|3 The Letters From No One  |0.02154800000000002|0.0772|0.010202651515151514
3|4 The Keeper Of The Keys  |-0.04258507462686567|-0.15395|-0.022554940711462447
4|5 Diagon Alley  |0.1318594202898551|0.2755|0.05525283400809716
5|6 The Journey From Platform Nine And Three-Quarters  |0.09177473684210524|0.14055|0.03741888412017167
6|7 The Sorting Hat  |0.10150642857142857|0.2023|0.05039326241134751
7|8 The Potions Master  |0.0933949494949495|0.2732|0.05603696969696969
8|9 The Midnight Duel  |0.02130802469135803|0.0|0.010034593023255817
9|10 Halloween  |0.07944437086092714|0.2023|0.04094232081911262
10|11 Quidditch  |-0.014647321428571418|-0.1437|-0.007071120689655162
11|12 The Mirror Of Erised  |0.11222962962962964|0.2263|0.056563733333333345
12|13 Nicolas Flamel  |0.0470579831932773|0.1027|0.027052657004830918
13|14 Norbert The Norwegian Ridgeback  |0.05069153846153847|0.127|0.025842745098039216
14|15 The Forbidden Forest  |-0.1050004608294931|-0.2263|-0.06092272727272728
15|16 Through The Trapdoor  |0.03850904977375567|0.1027|0.01787920168067227
16|17 The Man With Two Faces  |0.04669367088607594|0.2247|0.02549861751152074
17|18 The Worst Birthday  |0.002980952380952385|0.051500000000000004|0.0016582781456953668
18|19 Dobby’S Warning  |-0.08045507246376811|-0.2263|-0.051882242990654207
19|20 The Burrow  |0.06174503816793893|0.1027|0.027891724137931034
20|21 At Flourish And Blotts  |0.10715953757225435|0.2023|0.05420643274853802
21|22 The Whomping Willow  |-0.003660451977401127|-0.0498|-0.002005882352941175
22|23 Gilderoy Lockhart  |0.09919753086419754|0.20315|0.05973977695167287
23|24 Mudbloods And Murmurs  |0.095434375|0.2263|0.04599246987951808
24|25 The Deathday Party  |0.05095063291139241|0.0772|0.03026390977443609
25|26 The Writing On The Wall  |-0.06111557788944724|-0.1531|-0.03455113636363637
26|27 The Rogue Bludger  |-0.01589941520467836|-0.0258|-0.008189156626506024
27|28 The Duelling Club  |-0.0555955|-0.1027|-0.030972423398328685
28|29 The Polyjuice Potion  |0.031967475728155344|0.0516|0.01765495978552279
29|30 The Very Secret Diary  |-0.002116571428571429|-0.1027|-0.0009571059431524595
30|31 Cornelius Fudge  |-0.056620134228187916|-0.1779|-0.03244769230769231
31|32 Aragog  |-0.012865909090909088|0.0|-0.0075986577181208015
32|33 The Chamber Of Secrets  |0.0025070093457943954|-0.0772|0.0011948775055679267
33|34 The Heir Of Slytherin  |0.013765765765765775|0.057999999999999996|0.00769773299748111
34|35 Dobby’S Reward  |0.0661111111111111|0.2143|0.0385251798561151
35|36 Owl Post  |0.10807479674796748|0.2732|0.0668
36|37 Aunt Marge’S Big Mistake  |-0.0369102189781022|-0.1027|-0.019675875486381326
37|38 The Knight Bus  |-0.0017499999999999953|-0.045149999999999996|-0.0009020618556701129
38|39 The Leaky Cauldron  |0.09091646341463412|0.2612|0.04856775244299675
39|40 The Dementor  |-0.053891031390134535|-0.1027|-0.028545605700712594
40|41 Talons And Tea Leaves  |0.03887658730158731|0.0772|0.02115961123110151
41|42 The Boggart In The Wardrobe  |0.04733045977011494|0.128|0.0259794952681388
42|43 Flight Of The Fat Lady  |0.03641709844559587|0.0772|0.02073303834808259
43|44 Grim Defeat  |-0.06205340314136125|-0.2023|-0.031272295514511876
44|45 The Marauder’S Map  |-0.009483794466403152|-0.0772|-0.005083474576271192
45|46 The Firebolt  |0.002577500000000006|-0.0772|0.0014399441340782106
46|47 The Patronus  |0.0846177142857143|0.1779|0.04407172619047619
47|48 Gryffindor Versus Ravenclaw  |0.1270307142857143|0.27515|0.0780013157894737
48|49 Snape’S Grudge  |0.02438137254901961|0.01755|0.012496984924623117
49|50 The Quidditch Final  |0.036672192513368986|0.126|0.019935174418604647
50|51 Professor Trelawney’S Prediction  |-0.020977922077922078|-0.08130000000000001|-0.010095625000000002
51|52 Cat, Rat, And Dog  |-0.15591538461538462|-0.2724|-0.0755793220338983
52|53 Moony, Wormtail, Padfoot, And Prongs  |-0.03703777777777779|-0.1403|-0.019157471264367818
53|54 The Servant Of Lord Voldermort  |-0.0895895|-0.2732|-0.04081526195899772
54|55 The Dementor’S Kiss  |-0.05460609756097561|-0.1779|-0.024468306010928965
55|56 Hermione’S Secret  |0.006462962962962968|-0.1027|0.0025873146622734777
56|57 Owl Post Again  |0.1635023923444976|0.3182|0.08521695760598504
57|58 The Riddle House  |-0.07795695364238409|-0.1531|-0.04884439834024896
58|59 The Scar  |-0.06532978723404255|-0.15295|-0.04121476510067114
59|60 The Invitation  |0.02792499999999999|0.08995|0.013608121827411166
60|61 Back To The Burrow  |-0.044249541284403685|-0.25|-0.024483248730964465
61|62 Weasleys’ Wizard Wheezes  |0.11524628099173555|0.296|0.05762314049586777
62|63 The Portkey  |0.046456451612903224|0.0|0.01822974683544304
63|64 Bagman And Crouch  |0.2108639053254438|0.3612|0.10389504373177844
64|65 The Quidditch World Cup  |0.12536613756613757|0.2732|0.07404437500000001
65|66 The Dark Mark  |-0.1107718614718615|-0.2732|-0.05409788583509514
66|67 Mayhem At The Ministry  |-0.022100000000000005|-0.0772|-0.010222466960352427
67|68 Aboard The Hogwarts Express  |0.13209600000000002|0.2732|0.0620169014084507
68|69 The Triwizard Tournament  |0.1218448087431694|0.2006|0.07507609427609428
69|70 Mad-Eye Moody  |-0.07762483221476509|-0.1511|-0.047402049180327865
70|71 The Unforgivable Curses  |-0.08908039215686274|-0.1901|-0.05408452380952381
71|72 Beauxbatons And Drumstrang  |0.0661931818181818|0.1628|0.03935810810810811
72|73 The Goblet Of Fire  |0.23722087378640777|0.3818|0.12859868421052634
73|74 The Four Champions  |0.10366521739130435|0.2465|0.057751211072664364
74|75 The Weighing Of The Wands  |0.09821643835616438|0.2023|0.05233430656934306
75|76 The Hungarian Horntail  |0.005458295964125561|-0.1027|0.003161558441558446
76|77 The First Task  |0.11451263940520447|0.1943|0.06554021276595745
77|78 The House-Elf Liberation Front  |0.11326758241758242|0.2506|0.06781151315789473
78|79 The Unexpected Task  |0.058737500000000005|0.18395|0.030786551724137926
79|80 The Yule Ball  |0.16526778242677823|0.2732|0.08127366255144033
